graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
"""""",lobbyregister_membership,lobbyregister,2022-08-02,ACI Europe Brüssel,ACI Europe Brüssel,norm_lobbyregister_eintrag_2022-09-19_#0000267,
"""""",lobbyregister_membership,lobbyregister,2022-06-30,ACIIA Association of Certified International Investment Analysts,ACIIA Association of Certified International Investment Analysts,norm_lobbyregister_eintrag_2022-09-19_#0000268,
"""""",lobbyregister_membership,lobbyregister,2022-07-01,ACOD Automotive Cluster Ostdeutschland,ACOD Automotive Cluster Ostdeutschland,norm_lobbyregister_eintrag_2022-09-19_#0000270,
"""""",lobbyregister_membership,lobbyregister,2022-03-04,ACOD e.V.,ACOD e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000271,
"""""",lobbyregister_membership,lobbyregister,2022-02-24,ACT Alliance,ACT Alliance,norm_lobbyregister_eintrag_2022-09-19_#0000272,
"""""",lobbyregister_membership,lobbyregister,2022-08-31,ACT on Living Wages,ACT on Living Wages,norm_lobbyregister_eintrag_2022-09-19_#0000274,
"""""",lobbyregister_membership,lobbyregister,2022-02-22,Actuarial Association of Europe,Actuarial Association of Europe,norm_lobbyregister_eintrag_2022-09-19_#0000275,
"""""",lobbyregister_membership,lobbyregister,2022-03-22,ADA,ADA,norm_lobbyregister_eintrag_2022-09-19_#0000277,
"""""",lobbyregister_membership,lobbyregister,2022-05-20,ADA - Arbeitgeberverband Deutscher Apotheken e.V.,ADA - Arbeitgeberverband Deutscher Apotheken e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000278,
"""""",lobbyregister_membership,lobbyregister,2022-08-03,ADA - Arbeitgeberverband Deutscher Apothekeninhaber e.V.,ADA - Arbeitgeberverband Deutscher Apothekeninhaber e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000279,
"""""",lobbyregister_membership,lobbyregister,2022-05-16,ADA - Arbeitgeberverband Deutscher Apotheker e.V.,ADA - Arbeitgeberverband Deutscher Apotheker e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000280,
"""""",lobbyregister_membership,lobbyregister,2022-06-30,ADAC,ADAC,norm_lobbyregister_eintrag_2022-09-19_#0000281,
"""""",lobbyregister_membership,lobbyregister,2022-05-09,ADAC e.V.,ADAC e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000282,
"""""",lobbyregister_membership,lobbyregister,2022-02-25,ADAC e. V.,ADAC e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000283,
"""""",lobbyregister_membership,lobbyregister,2022-06-30,AdAR - Arbeitskreis deutscher Aufsichtsrat e.V.,AdAR - Arbeitskreis deutscher Aufsichtsrat e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000289,
"""""",lobbyregister_membership,lobbyregister,2022-09-13,adfc Bochum e. V,adfc Bochum e. V,norm_lobbyregister_eintrag_2022-09-19_#0000292,
"""""",lobbyregister_membership,lobbyregister,2022-02-25,ADH Aktion Deutschland Hilft,Aktion Deutschland Hilft (ADH),norm_lobbyregister_eintrag_2022-09-19_#0000663,
"""""",lobbyregister_membership,lobbyregister,2022-06-13,ADH - Aktion Deutschland hilft,Aktion Deutschland Hilft (ADH),norm_lobbyregister_eintrag_2022-09-19_#0000663,
"""""",lobbyregister_membership,lobbyregister,2022-07-07,Adlerkreis,Adlerkreis,norm_lobbyregister_eintrag_2022-09-19_#0000299,
